premise,choice1,choice2,question,idx,label
The item was packaged in bubble wrap.,It was fragile.,It was small.,cause,0,0
I emptied my pockets.,I retrieved a ticket stub.,I found a weapon.,effect,1,0
Termites invaded the house.,The termites disappeared from the house.,The termites ate through the wood in the house.,effect,2,1
The travelers reached the border.,The patrol agent checked their passports.,The patrol agent accused them of smuggling.,effect,3,0
The office was closed.,It was a holiday.,It was summer.,cause,4,0
The girl ran out of energy.,She played checkers.,She jumped rope.,cause,5,1
The woman lost her place in line.,More people entered the line.,She stepped out of the line.,cause,6,1
The girl pinched her nose.,The baby drooled on her bib.,The baby soiled her diaper.,cause,7,1
The band played their hit song.,The audience clapped along to the music.,The audience politely listened in silence.,effect,8,0
The girl wanted to thank her math teacher.,The girl stayed after school for detention.,The girl brought the teacher an apple.,effect,9,1
The young campers felt scared.,Their camp counselor told them a ghost story.,They toasted marshmallows on the campfire.,cause,10,0
The man hit his head.,He got lost in thought.,He got a concussion.,effect,11,1
The check I wrote bounced.,My bank account was empty.,I earned a pay raise.,cause,12,0
The man's email inbox was full of spam.,He deleted the spam.,He sent out a mass email.,effect,13,0
The sailor was quarantined.,He was exposed to the disease.,He recovered from the disease.,cause,14,0
The girl memorized the code.,She recited it to herself.,She forgot to write it down.,cause,15,0
I poured the water into the glass.,The water quenched my thirst.,The glass became full.,effect,16,1
The man remained silent when his friend finishing speaking.,He wanted to offer his friend support.,He was thinking about his friend's words.,cause,17,1
The accident was my fault.,I felt guilty.,I pressed charges.,effect,18,0
The chain came apart.,The chain was wrapped around a tire.,There was a broken link in the chain.,cause,19,1
The couple decided to compromise.,They grew tired of arguing.,They avoided discussing the problem.,cause,20,0
The woman decided to run for public office.,She hired a campaign manager.,She testified in court.,effect,21,0
The man anticipated cold weather on his trip.,He packed warm clothing in his suitcase.,He travelled with a big suitcase.,effect,22,0
The student knew the answer to the question.,He raised his hand.,He goofed off.,effect,23,0
The man's eyes watered.,Dust got into his eyes.,He put goggles over his eyes.,cause,24,0
The player won five games in a row.,Her opponent accused her of cheating.,Her opponent felt sorry for her.,effect,25,0
The teacher tore up the student's exam.,He caught the student cheating.,The student's answers were incorrect.,cause,26,0
